Model,Dataset,Metric,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15
CNN,Fused,Val Acc,0.9267,0.9356,0.9403,0.9493,0.9497,0.9507,0.9537,0.9459,0.9546,0.9567,0.955,0.9583,0.9524,0.9541,0.9586
CNN,Fused,Val Precision,0.9542,0.9429,0.97,0.9706,0.9649,0.9725,0.9729,0.9766,0.9542,0.9592,0.9614,0.9589,0.9708,0.9544,0.9578
CNN,Fused,Val Recall,0.8966,0.9274,0.9086,0.9266,0.9334,0.9277,0.9333,0.9138,0.955,0.954,0.9482,0.9576,0.933,0.9538,0.9594
CNN,Fused,Val F1,0.9245,0.9351,0.9383,0.9481,0.9489,0.9496,0.9527,0.9442,0.9546,0.9566,0.9547,0.9583,0.9515,0.9541,0.9586
CNN,Fused,Val AUC,0.9829,0.9874,0.9903,0.9917,0.9915,0.9919,0.9929,0.9908,0.9923,0.9928,0.9915,0.9932,0.9914,0.9923,0.9931
CNN,Fused,Val AP,0.9831,0.9883,0.9908,0.9915,0.9918,0.9923,0.9931,0.9911,0.9924,0.9932,0.992,0.9933,0.9918,0.9927,0.9931
CNN,Fused,Train Acc,0.8998,0.9489,0.9627,0.9698,0.9748,0.9789,0.9822,0.9862,0.9874,0.9898,0.9906,0.992,0.9925,0.9931,0.9935
CNN,Fused,Train Precision,,,,,,,,,,,,,,,
CNN,Fused,Train Loss,651.4705,330.9834,245.0743,202.4136,170.7463,149.2572,129.9025,105.8922,98.0257,82.8056,73.8623,66.8699,61.3593,58.1637,54.5318
CNN+Transformer,Fused,Val Acc,0.9232,0.9292,0.9347,0.9192,0.9434,0.9449,0.9396,0.947,0.9466,0.9486,0.5372,0.5758,0.8265,0.9313,0.9509
CNN+Transformer,Fused,Val Precision,0.9604,0.9661,0.9552,0.9606,0.9589,0.9421,0.953,0.9648,0.9536,0.9654,0.5286,0.5969,0.8343,0.9506,0.9527
CNN+Transformer,Fused,Val Recall,0.8828,0.8896,0.9121,0.8743,0.9265,0.9481,0.9249,0.9279,0.939,0.9305,0.6918,0.4679,0.8149,0.9099,0.949
CNN+Transformer,Fused,Val F1,0.92,0.9263,0.9332,0.9154,0.9424,0.9451,0.9387,0.946,0.9462,0.9476,0.5993,0.5246,0.8245,0.9298,0.9508
CNN+Transformer,Fused,Val AUC,0.9232,0.9292,0.9347,0.9192,0.9434,0.9449,0.9396,0.947,0.9466,0.9486,0.5372,0.5758,0.8265,0.9313,0.9509
CNN+Transformer,Fused,Val AP,0.9065,0.9147,0.9152,0.9027,0.9252,0.9191,0.919,0.9313,0.9259,0.933,0.5198,0.5454,0.7724,0.91,0.9296
CNN+Transformer,Fused,Train Acc,,,,,,,,,,,,,,,
CNN+Transformer,Fused,Train Precision,,,,,,,,,,,,,,,
CNN+Transformer,Fused,Train Loss,,,,,,,,,,,,,,,
RCNN,Fused,Val Acc,0.8651,0.8632,0.8842,0.903,0.8691,0.8765,0.8974,0.8935,0.8942,0.9069,0.8923,0.8967,0.9015,0.8827,0.8972
RCNN,Fused,Val Precision,0.8611,0.8503,0.8939,0.8993,0.842,0.9435,0.9449,0.943,0.8722,0.9158,0.9047,0.8803,0.909,0.8482,0.8802
RCNN,Fused,Val Recall,0.8704,0.8812,0.8718,0.9074,0.9084,0.8006,0.8437,0.8373,0.9237,0.896,0.8767,0.9181,0.8921,0.9319,0.9193
RCNN,Fused,Val F1,0.8657,0.8655,0.8827,0.9034,0.874,0.8662,0.8915,0.8871,0.8972,0.9058,0.8905,0.8988,0.9005,0.8881,0.8993
RCNN,Fused,Val AUC,0.8651,0.8632,0.8842,0.903,0.8692,0.8764,0.8973,0.8934,0.8943,0.9069,0.8923,0.8967,0.9015,0.8827,0.8972
RCNN,Fused,Val AP,0.8142,0.8086,0.8433,0.8623,0.8107,0.855,0.8753,0.8709,0.8437,0.8725,0.8548,0.8491,0.8648,0.8244,0.8495
RCNN,Fused,Train Acc,0.8614,0.9249,0.9433,0.9537,0.9641,0.9728,0.979,0.9841,0.9867,0.9874,0.9896,0.9906,0.9916,0.9921,0.9923
RCNN,Fused,Train Precision,0.874,0.9355,0.9507,0.9595,0.9674,0.9751,0.9802,0.9847,0.9875,0.9878,0.9902,0.991,0.9919,0.9926,0.9927
RCNN,Fused,Train Loss,889.8257,511.2417,389.8165,316.8439,253.9474,203.9794,160.3705,127.6665,106.7728,99.2697,86.1439,78.0442,72.3628,65.1892,65.4713
Statistical,Fused,Val Acc,0.6224,0.6228,0.6218,0.6226,0.6219,0.6228,0.6228,0.6221,0.6228,0.6222,0.6219,0.6224,0.6228,0.6218,0.6224
Statistical,Fused,Val Precision,0.6316,0.6321,0.6311,0.6319,0.6312,0.632,0.6321,0.6314,0.6321,0.6315,0.6312,0.6316,0.6321,0.6311,0.6316
Statistical,Fused,Val Recall,0.5878,0.5884,0.587,0.5881,0.5873,0.5882,0.5884,0.5874,0.5884,0.5873,0.5873,0.5878,0.5883,0.587,0.5878
Statistical,Fused,Val F1,0.6089,0.6094,0.6083,0.6092,0.6085,0.6093,0.6094,0.6086,0.6094,0.6086,0.6085,0.6089,0.6094,0.6082,0.6089
Statistical,Fused,Val AUC,0.6654,0.6655,0.665,0.6654,0.6651,0.6655,0.6655,0.6652,0.6655,0.6653,0.6651,0.6654,0.6655,0.665,0.6654
Statistical,Fused,Val AP,,,,,,,,,,,,,,,
Statistical,Fused,Train Acc,0.6608,0.6608,0.6598,0.6608,0.6599,0.6608,0.6608,0.6601,0.6608,0.6604,0.66,0.6608,0.6608,0.6598,0.6608
Statistical,Fused,Train Precision,0.6738,0.6739,0.6727,0.6738,0.6728,0.6739,0.6739,0.673,0.6739,0.6734,0.6728,0.6738,0.6739,0.6727,0.6738
Statistical,Fused,Train Loss,,,,,,,,,,,,,,,
Transformer,Fused,Val Acc,0.8666,0.8914,0.9046,0.9172,0.9165,0.9169,0.9044,0.9142,0.9175,0.9167,0.9243,0.9279,0.5188,0.6236,0.5001
Transformer,Fused,Val Precision,0.8296,0.9169,0.9026,0.8968,0.9118,0.8915,0.9233,0.8968,0.9096,0.9268,0.9176,0.9246,0.5168,0.6344,0.0
Transformer,Fused,Val Recall,0.9225,0.8609,0.907,0.9428,0.9222,0.9492,0.882,0.9362,0.927,0.9049,0.9322,0.9318,0.5756,0.583,0.0
Transformer,Fused,Val F1,0.8736,0.888,0.9048,0.9192,0.917,0.9195,0.9022,0.916,0.9182,0.9157,0.9249,0.9282,0.5446,0.6076,0.0
Transformer,Fused,Val AUC,0.9514,0.9664,0.971,0.9785,0.9772,0.9794,0.9726,0.9772,0.9771,0.9779,0.9799,0.9814,0.5248,0.6728,0.51
Transformer,Fused,Val AP,0.9544,0.9669,0.971,0.9786,0.977,0.9791,0.9722,0.9769,0.9765,0.9775,0.9793,0.981,0.5158,0.6772,0.5013
Transformer,Fused,Train Acc,0.8062,0.9073,0.9299,0.9412,0.9508,0.9568,0.962,0.9668,0.97,0.9746,0.9757,0.978,0.7821,0.5586,0.5366
Transformer,Fused,Train Precision,0.8034,0.9012,0.9233,0.9354,0.9457,0.9535,0.9591,0.9653,0.969,0.9738,0.9744,0.9771,0.7901,0.5592,0.5364
Transformer,Fused,Train Loss,,,,,,,,,,,,,,,
